file                           format  type   num_seqs      sum_len  min_len  avg_len  max_len
ENRIQ_42_S43_L001_R1.fastq.gz  FASTQ   DNA   2,464,317  269,976,370       35    109.6      151
ENRIQ_42_S43_L001_R2.fastq.gz  FASTQ   DNA   2,464,317  269,648,964       35    109.4      151
ENRIQ_43_S44_L001_R1.fastq.gz  FASTQ   DNA   2,345,784  243,026,352       35    103.6      151
ENRIQ_43_S44_L001_R2.fastq.gz  FASTQ   DNA   2,345,784  242,719,554       35    103.5      151
ENRIQ_44_S45_L001_R1.fastq.gz  FASTQ   DNA   4,228,004  449,110,527       35    106.2      151
ENRIQ_44_S45_L001_R2.fastq.gz  FASTQ   DNA   4,228,004  448,489,460       35    106.1      151
ENRIQ_45_S46_L001_R1.fastq.gz  FASTQ   DNA   1,262,081  132,243,501       35    104.8      151
ENRIQ_45_S46_L001_R2.fastq.gz  FASTQ   DNA   1,262,081  131,882,481       35    104.5      151
ENRIQ_46_S47_L001_R1.fastq.gz  FASTQ   DNA   1,086,148  127,848,244       35    117.7      151
ENRIQ_46_S47_L001_R2.fastq.gz  FASTQ   DNA   1,086,148  127,687,649       35    117.6      151
ENRIQ_47_S48_L001_R1.fastq.gz  FASTQ   DNA   1,608,040  176,331,032       35    109.7      151
ENRIQ_47_S48_L001_R2.fastq.gz  FASTQ   DNA   1,608,040  176,073,950       35    109.5      151
ENRIQ_48_S49_L001_R1.fastq.gz  FASTQ   DNA   1,681,259  193,810,898       35    115.3      151
ENRIQ_48_S49_L001_R2.fastq.gz  FASTQ   DNA   1,681,259  193,627,762       35    115.2      151
ENRIQ_49_S50_L001_R1.fastq.gz  FASTQ   DNA   1,016,138  110,769,787       35      109      151
ENRIQ_49_S50_L001_R2.fastq.gz  FASTQ   DNA   1,016,138  110,634,523       35    108.9      151
ENRIQ_4_S5_L001_R1.fastq.gz    FASTQ   DNA   1,096,414  120,441,353       35    109.9      151
ENRIQ_4_S5_L001_R2.fastq.gz    FASTQ   DNA   1,096,414  120,308,288       35    109.7      151
ENRIQ_50_S51_L001_R1.fastq.gz  FASTQ   DNA   2,391,550  268,420,528       35    112.2      151
ENRIQ_50_S51_L001_R2.fastq.gz  FASTQ   DNA   2,391,550  267,964,563       35      112      151
ENRIQ_51_S52_L001_R1.fastq.gz  FASTQ   DNA   2,082,598  226,612,991       35    108.8      151
ENRIQ_51_S52_L001_R2.fastq.gz  FASTQ   DNA   2,082,598  226,322,316       35    108.7      151
ENRIQ_52_S53_L001_R1.fastq.gz  FASTQ   DNA   1,300,612  137,780,284       35    105.9      151
ENRIQ_52_S53_L001_R2.fastq.gz  FASTQ   DNA   1,300,612  137,572,655       35    105.8      151
ENRIQ_53_S54_L001_R1.fastq.gz  FASTQ   DNA   1,535,253  180,469,899       35    117.6      151
ENRIQ_53_S54_L001_R2.fastq.gz  FASTQ   DNA   1,535,253  180,287,967       35    117.4      151
ENRIQ_54_S55_L001_R1.fastq.gz  FASTQ   DNA   2,369,266  269,682,498       35    113.8      151
ENRIQ_54_S55_L001_R2.fastq.gz  FASTQ   DNA   2,369,266  269,347,802       35    113.7      151
ENRIQ_55_S56_L001_R1.fastq.gz  FASTQ   DNA   1,402,870  150,612,134       35    107.4      151
ENRIQ_55_S56_L001_R2.fastq.gz  FASTQ   DNA   1,402,870  150,375,029       35    107.2      151
ENRIQ_56_S57_L001_R1.fastq.gz  FASTQ   DNA   1,788,018  197,156,077       35    110.3      151
ENRIQ_56_S57_L001_R2.fastq.gz  FASTQ   DNA   1,788,018  196,936,983       35    110.1      151
ENRIQ_57_S58_L001_R1.fastq.gz  FASTQ   DNA   1,716,655  183,025,102       35    106.6      151
ENRIQ_57_S58_L001_R2.fastq.gz  FASTQ   DNA   1,716,655  182,749,923       35    106.5      151
ENRIQ_58_S59_L001_R1.fastq.gz  FASTQ   DNA   1,612,437  181,312,844       35    112.4      151
ENRIQ_58_S59_L001_R2.fastq.gz  FASTQ   DNA   1,612,437  181,152,953       35    112.3      151
ENRIQ_59_S60_L001_R1.fastq.gz  FASTQ   DNA   1,804,900  204,140,374       35    113.1      151
ENRIQ_59_S60_L001_R2.fastq.gz  FASTQ   DNA   1,804,900  204,355,913       35    113.2      151
ENRIQ_5_S6_L001_R1.fastq.gz    FASTQ   DNA   1,005,041  110,149,648       35    109.6      151
ENRIQ_5_S6_L001_R2.fastq.gz    FASTQ   DNA   1,005,041  110,023,355       35    109.5      151
ENRIQ_60_S61_L001_R1.fastq.gz  FASTQ   DNA     828,165   92,604,784       35    111.8      151
ENRIQ_60_S61_L001_R2.fastq.gz  FASTQ   DNA     828,165   92,491,855       35    111.7      151
ENRIQ_61_S62_L001_R1.fastq.gz  FASTQ   DNA   1,162,204  125,320,622       35    107.8      151
ENRIQ_61_S62_L001_R2.fastq.gz  FASTQ   DNA   1,162,204  125,162,851       35    107.7      151
ENRIQ_62_S63_L001_R1.fastq.gz  FASTQ   DNA     888,781   96,472,587       35    108.5      151
ENRIQ_62_S63_L001_R2.fastq.gz  FASTQ   DNA     888,781   96,381,466       35    108.4      151
ENRIQ_6_S7_L001_R1.fastq.gz    FASTQ   DNA   1,150,773  126,320,789       35    109.8      151
ENRIQ_6_S7_L001_R2.fastq.gz    FASTQ   DNA   1,150,773  126,188,312       35    109.7      151
ENRIQ_7_S8_L001_R1.fastq.gz    FASTQ   DNA     956,550  105,757,367       35    110.6      151
ENRIQ_7_S8_L001_R2.fastq.gz    FASTQ   DNA     956,550  105,523,110       35    110.3      151
ENRIQ_8_S9_L001_R1.fastq.gz    FASTQ   DNA     972,095  105,929,385       35      109      151
ENRIQ_8_S9_L001_R2.fastq.gz    FASTQ   DNA     972,095  105,804,098       35    108.8      151
ENRIQ_9_S10_L001_R1.fastq.gz   FASTQ   DNA   3,177,333  342,014,254       35    107.6      151
ENRIQ_9_S10_L001_R2.fastq.gz   FASTQ   DNA   3,177,333  341,625,619       35    107.5      151
