"ENRIQ_10_S11_L001"	"ENRIQ_11_S12_L001"	"ENRIQ_12_S13_L001"	"ENRIQ_13_S14_L001"	"ENRIQ_14_S15_L001"	"ENRIQ_15_S16_L001"	"ENRIQ_16_S17_L001"	"ENRIQ_17_S18_L001"	"ENRIQ_18_S19_L001"	"ENRIQ_19_S20_L001"	"ENRIQ_1_S2_L001"	"ENRIQ_20_S21_L001"	"ENRIQ_21_S22_L001"	"ENRIQ_22_S23_L001"	"ENRIQ_23_S24_L001"	"ENRIQ_24_S25_L001"	"ENRIQ_25_S26_L001"	"ENRIQ_26_S27_L001"	"ENRIQ_27_S28_L001"	"ENRIQ_28_S29_L001"	"ENRIQ_29_S30_L001"	"ENRIQ_2_S3_L001"	"ENRIQ_30_S31_L001"	"ENRIQ_31_S32_L001"	"ENRIQ_32_S33_L001"	"ENRIQ_33_S34_L001"	"ENRIQ_34_S35_L001"	"ENRIQ_35_S36_L001"	"ENRIQ_36_S37_L001"	"ENRIQ_3_S4_L001"	"ENRIQ_4_S5_L001"	"ENRIQ_5_S6_L001"	"ENRIQ_6_S7_L001"	"ENRIQ_7_S8_L001"	"ENRIQ_8_S9_L001"	"ENRIQ_9_S10_L001"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium|t__SGB4834"	0.00838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00191	0	0	0	0	0	0	0.00396
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium|t__SGB14854"	0.00797	0	0.02186	0	0	0	0	0	0.03136	0	0	0.0261	0	0	0	0	0.08684	0	0.07538	0.02704	0.04075	0	0.01837	0.01868	0.09114	0.06257	0.09524	0.04801	0.08192	0	0	0	0	0	0	0.04008
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9730|s__GGB9730_SGB15291|t__SGB15291"	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03172
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified|g__GGB4750|s__GGB4750_SGB6579|t__SGB6579"	0.007	0	0.00093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01475
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans|t__SGB15271"	0.00655	0	0.04371	0.03187	0	0.06618	0	0	0.08844	0.0485	0	0.08271	0.01267	0	0	0.05803	0.1211	0	0.20087	0.08581	0.13649	0	0.03364	0.01862	0.13516	0.15407	0.16865	0.09011	0.16949	0	0	0	0	0	0	0.04853
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified|s__Eubacteriaceae_bacterium|t__SGB5043"	0.00503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01256
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_communis|t__SGB2290"	0.00467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05159	0	0.02818	0	0	0	0	0	0.02487	0.0308	0.04836	0.04463	0.04608	0	0	0	0	0	0	0.02637
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_sp_GAM18|t__SGB14370_group"	0.00369	0	0.01388	0.0382	0	0.03853	0.0174	0.01628	0.07793	0.0403	0	0.12721	0.04091	0	0.01736	0.03007	0.04977	0	0.05988	0.04748	0.02958	0	0.04768	0.00915	0.07694	0.03709	0.0535	0.01739	0.05035	0	0.01966	0	0	0	0	0.03084
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3277|s__GGB3277_SGB4327|t__SGB4327_group"	0.00269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00745
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9644|s__GGB9644_SGB15121|t__SGB15121"	0.00187	0	0.02725	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00364	0	0.01602	0	0	0	0	0	0.01775	0	0.03864	0	0.03685	0	0	0	0	0	0	0.02612
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified|s__Eubacteriaceae_bacterium|t__SGB4546"	0.00143	0	0	0.0013	0	0	0	0	0	0	0	0.00247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00249	0	0	0	0	0	0	0.0103
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_AF19_10LB"	0	0.00309	0.0773	0.01505	0	0	0	0	0.03339	0.01394	0.00517	0.01113	0	0	0	0	0.0086	0	0	0	0	0.01009	0	0	0	0.01137	0	0	0.00963	0	0	0	0	0.01283	0	0.07825
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_AF19_10LB|t__SGB4810"	0	0.00309	0.0773	0.01505	0	0	0	0	0.03339	0.01394	0.00517	0.01113	0	0	0	0	0.0086	0	0	0	0	0.01009	0	0	0	0.01137	0	0	0.00963	0	0	0	0	0.01283	0	0.07825
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0	0	0.00557	0.02052	0	0.02677	0.03409	0.0152	0.03376	0.16226	0	0.09523	0.01693	0.00323	0.01779	0.05769	0.09307	0	0.12835	0.08579	0.03556	0	0	0	0.07624	0.06448	0.06676	0.05641	0.12078	0	0	0	0	0	0	0.03112
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified"	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0.00896
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0	0	0.00557	0.02052	0	0.02677	0.03409	0.0152	0.03376	0.16226	0	0.09523	0.01693	0.00323	0.01779	0.05769	0.09307	0	0.12835	0.08579	0.03556	0	0	0	0.07624	0.06448	0.06676	0.05641	0.12078	0	0	0	0	0	0	0.03112
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified"	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0.00896
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0	0	0.00557	0.02052	0	0.02677	0.03409	0.0152	0.03376	0.16226	0	0.09523	0.01693	0.00323	0.01779	0.05769	0.09307	0	0.12835	0.08579	0.03556	0	0	0	0.07624	0.06448	0.06676	0.05641	0.12078	0	0	0	0	0	0	0.03112
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified"	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0.00896
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas"	0	0	0.05066	0.01961	0	0	0	0	0.03036	0	0	0.0323	0	0	0	0	0.0884	0	0.08012	0	0	0	0.03571	0	0.09065	0.06448	0.10769	0.02011	0.07315	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Enterocloster"	0	0	0.01495	0	0	0	0	0	0.00393	0	0	0.00352	0	0	0	0	0.0388	0	0.01393	0	0	0	0	0	0	0	0.01469	0	0.02014	0	0	0	0	0	0	0.03761
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0	0	0.00557	0.02052	0	0.02677	0.03409	0.0152	0.03376	0.04477	0	0.06058	0.01693	0.00323	0	0.01281	0.04304	0	0.07965	0.02643	0.03556	0	0	0	0.07624	0.04412	0.06676	0.0364	0.06261	0	0	0	0	0	0	0.03112
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9699"	0	0	0.00416	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01658	0	0	0	0	0	0	0	0	0	0	0	0.00499	0	0	0	0	0	0	0.04984
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified"	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0.00896
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa"	0	0	0.05066	0.01961	0	0	0	0	0.03036	0	0	0.0323	0	0	0	0	0.07595	0	0	0	0	0	0.03571	0	0.09065	0.06448	0.10313	0	0.07012	0	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_bouchesdurhonensis"	0	0	0.02883	0.00121	0	0.01507	0	0	0.026	0.00702	0	0.03413	0	0	0	0	0.0051	0	0.03273	0.01262	0	0	0	0	0.0292	0.02519	0.04283	0	0.01845	0	0	0	0	0	0	0.04655
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_SGB15450"	0	0	0.02177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae"	0	0	0.01495	0	0	0	0	0	0.00393	0	0	0.00352	0	0	0	0	0.0388	0	0.01393	0	0	0	0	0	0	0	0.01469	0	0.02014	0	0	0	0	0	0	0.03761
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea"	0	0	0.01466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01489
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_AF34_35BH"	0	0	0.01411	0.1129	0.086	0.12117	0.12312	0.07035	0.133	0.18133	0.00327	0.10045	0.09891	0.18342	0.05962	0.09623	0	0	0.00842	0.00455	0	0	0	0	0	0	0.01784	0	0.0178	0	0	0	0	0	0	0.02722
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_hominis"	0	0	0.01054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_amygdalina"	0	0	0.00825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00217	0	0	0	0	0	0	0	0	0	0.02379	0	0	0	0	0	0	0.00377
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_unclassified_SGB15234"	0	0	0.00728	0	0	0	0	0	0.00801	0	0	0	0	0	0	0	0.03423	0	0.06746	0.0143	0	0	0	0	0.05907	0.03546	0.08312	0	0.0241	0	0	0	0	0	0	0.01003
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis"	0	0	0.00557	0.02052	0	0.02677	0.03409	0.0152	0.03376	0.04477	0	0.04693	0.01693	0.00323	0	0.01281	0.04304	0	0.07965	0.02643	0.03556	0	0	0	0.07624	0.04412	0.0576	0.0364	0.06261	0	0	0	0	0	0	0.03112
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB20884"	0	0	0.00431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00417	0	0	0	0	0	0	0.02542
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9699|s__GGB9699_SGB15216"	0	0	0.00416	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01658	0	0	0	0	0	0	0	0	0	0	0	0.00499	0	0	0	0	0	0	0.04984
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_AF16_15"	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0.00896
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15317"	0	0	0.05328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0075	0	0	0	0	0	0.01088	0.04601
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa|t__SGB1784"	0	0	0.05066	0.01961	0	0	0	0	0.03036	0	0	0.0323	0	0	0	0	0.07595	0	0	0	0	0	0.03571	0	0.09065	0.06448	0.10313	0	0.07012	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium|t__SGB3957"	0	0	0.0414	0	0	0	0	0	0.00307	0	0	0	0	0	0	0	0.0053	0	0.00176	0.00624	0	0	0	0	0.0178	0.01229	0.01412	0	0.03008	0	0	0	0	0	0	0.02711
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_bouchesdurhonensis|t__SGB14397"	0	0	0.02883	0.00121	0	0.01507	0	0	0.026	0.00702	0	0.03413	0	0	0	0	0.0051	0	0.03273	0.01262	0	0	0	0	0.0292	0.02519	0.04283	0	0.01845	0	0	0	0	0	0	0.04655
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_SGB15450|t__SGB15450"	0	0	0.02177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae|t__SGB4758_group"	0	0	0.01495	0	0	0	0	0	0.00393	0	0	0.00352	0	0	0	0	0.0388	0	0.01393	0	0	0	0	0	0	0	0.01469	0	0.02014	0	0	0	0	0	0	0.03761
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea|t__SGB1679"	0	0	0.01466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01489
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_AF34_35BH|t__SGB5051"	0	0	0.01411	0.1129	0.086	0.12117	0.12312	0.07035	0.133	0.18133	0.00327	0.10045	0.09891	0.18342	0.05962	0.09623	0	0	0.00842	0.00455	0	0	0	0	0	0	0.01784	0	0.0178	0	0	0	0	0	0	0.02722
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_hominis|t__SGB1617_group"	0	0	0.01054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_amygdalina|t__SGB4716"	0	0	0.00825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00217	0	0	0	0	0	0	0	0	0	0.02379	0	0	0	0	0	0	0.00377
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_unclassified_SGB15234|t__SGB15234"	0	0	0.00728	0	0	0	0	0	0.00801	0	0	0	0	0	0	0	0.03423	0	0.06746	0.0143	0	0	0	0	0.05907	0.03546	0.08312	0	0.0241	0	0	0	0	0	0	0.01003
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium|t__SGB4750"	0	0	0.00584	0	0	0	0	0	0	0	0.03304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03319
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis|t__SGB9283"	0	0	0.00557	0.02052	0	0.02677	0.03409	0.0152	0.03376	0.04477	0	0.04693	0.01693	0.00323	0	0.01281	0.04304	0	0.07965	0.02643	0.03556	0	0	0	0.07624	0.04412	0.0576	0.0364	0.06261	0	0	0	0	0	0	0.03112
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae_unclassified|s__Eggerthellaceae_bacterium|t__SGB14325"	0	0	0.00543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB20884|t__SGB20884"	0	0	0.00431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00417	0	0	0	0	0	0	0.02542
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9699|s__GGB9699_SGB15216|t__SGB15216"	0	0	0.00416	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01658	0	0	0	0	0	0	0	0	0	0	0	0.00499	0	0	0	0	0	0	0.04984
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_AF16_15|t__SGB4993"	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0.00896
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0	0	0	4.59735	6.66657	6.83008	2.76345	4.33752	3.75509	2.89362	0	2.78343	3.44805	3.49106	2.61131	3.15112	3.75222	5.04549	4.98995	2.15254	4.24069	0	3.31705	2.5354	2.27655	2.83364	2.1863	2.37549	2.47206	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__CFGB2395"	0	0	0	0.03969	0	0.05267	0.04651	0.01238	0.04971	0.05837	0	0.05329	0	0.02594	0	0	0.04474	0	0.0557	0.01144	0	0	0	0	0.05852	0.02666	0.06799	0.05251	0.05202	0	0	0	0	0	0	0.0111
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0	0	0	4.59735	6.66657	6.83008	2.76345	4.33752	3.75509	2.89362	0	2.78343	3.44805	3.49106	2.61131	3.15112	3.75222	5.04549	4.98995	2.15254	4.24069	0	3.31705	2.5354	2.27655	2.83364	2.1863	2.37549	2.47206	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__CFGB2395|o__OFGB2395"	0	0	0	0.03969	0	0.05267	0.04651	0.01238	0.04971	0.05837	0	0.05329	0	0.02594	0	0	0.04474	0	0.0557	0.01144	0	0	0	0	0.05852	0.02666	0.06799	0.05251	0.05202	0	0	0	0	0	0	0.0111
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0	0	0	4.59735	6.66657	6.83008	2.76345	4.33752	3.75509	2.89362	0	2.78343	3.44805	3.49106	2.61131	3.15112	3.75222	5.04549	4.98995	2.15254	4.24069	0	3.31705	2.5354	2.27655	2.83364	2.1863	2.37549	2.47206	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__CFGB2395|o__OFGB2395|f__FGB2395"	0	0	0	0.03969	0	0.05267	0.04651	0.01238	0.04971	0.05837	0	0.05329	0	0.02594	0	0	0.04474	0	0.0557	0.01144	0	0	0	0	0.05852	0.02666	0.06799	0.05251	0.05202	0	0	0	0	0	0	0.0111
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae"	0	0	0	0.01295	0	0.0597	0	0	0.01239	0	0	0	0	0	0	0	0.01475	0	0.07074	0	0	0	0	0	0	0	0.00066	0	0.01194	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0	0	0	4.59735	6.66657	6.83008	2.76345	4.33752	3.75509	2.89362	0	2.78343	3.44805	3.49106	2.61131	3.15112	3.75222	5.04549	4.98995	2.15254	4.24069	0	3.31705	2.5354	2.27655	2.83364	2.1863	2.37549	2.47206	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus"	0	0	0	0.19626	0.03328	0.12303	0.11936	0.0257	0.15906	0.16988	0	0.20219	0.17214	0.21642	0.14201	0.17608	3.82619	4.51326	4.46333	8.30017	3.81415	0	3.04453	2.3464	2.49226	2.10612	2.49308	2.46998	2.31516	0	0	0	0	0	0	0.00776
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus"	0	0	0	0.04111	0	0.00379	0	0	0	0	0	0.01016	0	0	0	0	0	0	0.00409	0.02566	0	0	0	0	0.00395	0	0.00161	0	0.00859	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__CFGB2395|o__OFGB2395|f__FGB2395|g__GGB6547"	0	0	0	0.03969	0	0.05267	0.04651	0.01238	0.04971	0.05837	0	0.05329	0	0.02594	0	0	0.04474	0	0.0557	0.01144	0	0	0	0	0.05852	0.02666	0.06799	0.05251	0.05202	0	0	0	0	0	0	0.0111
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Culturomica"	0	0	0	0.01665	0	0.01237	0	0	0.01251	0.00671	0	0.02191	0	0	0	0	0.02178	0	0.00967	0.00705	0	0	0	0	0.00598	0.01327	0.02666	0.00607	0.02725	0	0	0	0	0	0	0.01118
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus"	0	0	0	0.01295	0	0.0597	0	0	0.01239	0	0	0	0	0	0	0	0.01475	0	0.07074	0	0	0	0	0	0	0	0.00066	0	0.01194	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli"	0	0	0	4.59735	6.66657	6.83008	2.76345	4.33752	3.75509	2.89362	0	2.78343	3.44805	3.49106	2.61131	3.15112	3.75222	5.04549	4.98995	2.15254	4.24069	0	3.31705	2.5354	2.27655	2.83364	2.1863	2.37549	2.47206	0	0	0	0	0	0	0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_mortiferum"	0	0	0	0.3254	0.39648	0.61299	0.31123	0.36532	0.39002	0.39966	0	0.19804	0.25452	0.31313	0.22688	0.16218	0.06616	0	0.10536	0.038	0.08354	0	0	0	0.01811	0	0.01899	0	0.05082	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_acidophilus"	0	0	0	0.19626	0.03328	0.12303	0.11936	0.0257	0.15906	0.16988	0	0.20219	0.17214	0.21642	0.14201	0.17608	3.82619	4.51326	4.45015	8.11538	3.81415	0	3.04453	2.3464	2.49226	2.10612	2.49308	2.46998	2.31356	0	0	0	0	0	0	0.00776
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii"	0	0	0	0.06223	0	0	0	0.01412	0.00606	0	0	0.02469	0	0	0.01715	0.02015	0.13959	0	0.13072	0.03684	0.11066	0	0.05982	0.09801	0.11397	0.1063	0.10852	0.08854	0.10686	0	0	0	0	0	0	0.01668
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_rhamnosus"	0	0	0	0.04111	0	0.00379	0	0	0	0	0	0.01016	0	0	0	0	0	0	0.00409	0.02566	0	0	0	0	0.00395	0	0.00161	0	0.00859	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__CFGB2395|o__OFGB2395|f__FGB2395|g__GGB6547|s__GGB6547_SGB9247"	0	0	0	0.03969	0	0.05267	0.04651	0.01238	0.04971	0.05837	0	0.05329	0	0.02594	0	0	0.04474	0	0.0557	0.01144	0	0	0	0	0.05852	0.02666	0.06799	0.05251	0.05202	0	0	0	0	0	0	0.0111
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Culturomica|s__Culturomica_massiliensis"	0	0	0	0.01665	0	0.01237	0	0	0.01251	0.00671	0	0.02191	0	0	0	0	0.02178	0	0.00967	0.00705	0	0	0	0	0.00598	0.01327	0.02666	0.00607	0.02725	0	0	0	0	0	0	0.01118
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium"	0	0	0	0.01295	0	0.0597	0	0	0.01239	0	0	0	0	0	0	0	0.01475	0	0.07074	0	0	0	0	0	0	0	0.00066	0	0.01194	0	0	0	0	0	0	0
