"ENRIQ_10_S11_L001"	"ENRIQ_11_S12_L001"	"ENRIQ_12_S13_L001"	"ENRIQ_13_S14_L001"	"ENRIQ_14_S15_L001"	"ENRIQ_15_S16_L001"	"ENRIQ_16_S17_L001"	"ENRIQ_17_S18_L001"	"ENRIQ_18_S19_L001"	"ENRIQ_19_S20_L001"	"ENRIQ_1_S2_L001"	"ENRIQ_20_S21_L001"	"ENRIQ_21_S22_L001"	"ENRIQ_22_S23_L001"	"ENRIQ_23_S24_L001"	"ENRIQ_24_S25_L001"	"ENRIQ_25_S26_L001"	"ENRIQ_26_S27_L001"	"ENRIQ_27_S28_L001"	"ENRIQ_28_S29_L001"	"ENRIQ_29_S30_L001"	"ENRIQ_2_S3_L001"	"ENRIQ_30_S31_L001"	"ENRIQ_31_S32_L001"	"ENRIQ_32_S33_L001"	"ENRIQ_33_S34_L001"	"ENRIQ_34_S35_L001"	"ENRIQ_35_S36_L001"	"ENRIQ_36_S37_L001"	"ENRIQ_3_S4_L001"	"ENRIQ_4_S5_L001"	"ENRIQ_5_S6_L001"	"ENRIQ_6_S7_L001"	"ENRIQ_7_S8_L001"	"ENRIQ_8_S9_L001"	"ENRIQ_9_S10_L001"
"k__Archaea|p__Euryarchaeota|c__CFGB343"	0.01986	0	0.04116	0	0	0	0.0129	0	0.02924	0	0	0.02953	0	0	0	0	0.01058	0	0.00545	0.05626	0.01666	0	0	0	0.04855	0.03301	0.06237	0.04485	0.03271	0.01275	0.01314	0	0.01681	0	0	0.0489
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales"	54.85546	56.51536	56.28189	30.54807	27.43354	27.90083	29.79407	29.07729	29.98994	29.0489	56.83112	30.22593	27.4317	28.34146	28.10849	27.28501	32.26964	28.49681	32.57515	29.26392	31.80537	55.9476	30.60052	31.33541	32.32623	30.9879	33.01131	32.04766	32.52856	53.90067	55.74445	56.91572	55.11337	56.57521	56.49755	56.88012
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales"	23.35617	22.67695	22.25963	24.19851	19.13545	19.02058	18.34968	22.26651	17.79206	17.72653	21.53117	16.71671	17.79669	20.32824	18.63508	16.12759	23.32468	19.63832	18.2883	18.18748	21.69283	22.95199	20.25577	17.95668	19.5368	18.41273	20.20505	19.8603	17.58969	24.73608	23.25333	23.0893	24.21204	24.44116	23.26087	22.36364
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales"	7.95996	8.12049	8.11161	25.68583	32.07182	31.84173	33.38024	29.94981	32.19876	24.27798	8.90823	27.27166	25.83373	25.31996	25.87306	26.66819	24.04831	30.97674	24.74093	27.72362	25.40982	9.16669	29.33731	22.61088	21.42379	20.81448	19.44044	20.598	19.36152	9.30126	8.71265	8.15449	8.05543	7.87876	8.64083	7.64333
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	3.08508	2.65765	2.57744	1.78301	1.92536	1.65139	1.62583	1.49864	1.76021	1.5048	3.01313	1.5802	1.59406	1.53595	1.46641	1.31052	1.5612	1.23431	1.75918	1.38554	1.42421	3.1089	1.43041	1.24541	1.50261	1.52757	1.53454	1.44958	1.48944	2.95769	2.77718	2.7181	2.8389	2.62916	2.7222	2.6152
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	2.17015	2.32002	2.39662	2.62003	3.23966	3.01132	3.96582	3.34246	3.55657	2.89621	2.46288	3.54142	3.34675	3.17481	3.07154	3.33435	2.20655	2.67847	2.65651	3.24614	2.28205	2.52943	2.98343	2.45041	2.67005	2.51501	2.78294	2.10794	2.23994	2.24459	2.54148	2.24452	2.31139	2.26017	2.31409	2.3127
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	1.99389	1.61527	1.78198	2.20492	1.79225	1.9787	1.63561	1.39526	1.65253	13.47813	1.52937	9.73697	13.67024	9.96891	12.78033	15.02052	5.43837	5.95491	6.4777	9.2096	5.52692	1.40885	4.4375	15.4477	12.51536	15.94573	12.16989	14.2043	16.0673	1.76997	1.30474	1.45903	1.57459	1.28657	1.3762	1.47098
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales"	1.65269	1.72033	1.85908	5.23843	5.43161	4.74888	5.75363	5.33248	5.74858	5.28473	1.71003	4.99681	4.76893	5.22512	5.25068	4.9641	4.13856	5.08004	4.90028	5.47976	4.12919	1.74818	4.99018	4.10854	4.28798	4.02141	4.91316	4.13381	4.52612	1.26136	1.65432	1.57605	1.71563	1.41266	1.71912	1.76936
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified"	1.58397	1.43262	1.72464	0.43107	0	0.20382	0.31559	0.10506	0.55772	0.40484	1.50984	0.50532	0.20955	0.27334	0.27772	0.23997	1.07224	0.15494	1.33242	1.08374	1.02661	0.9458	0.80402	0.88775	1.30239	1.04231	1.63693	1.28948	1.64256	1.12007	1.37895	1.38852	1.25117	1.20686	0.96439	2.01149
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales"	1.36562	1.27848	1.34902	1.16106	1.01303	1.08178	0.96143	1.08723	1.18987	0.94341	1.09968	1.0642	0.76961	1.06407	0.99804	1.0088	0.90504	0.638	0.8223	0.88236	0.94758	1.10433	0.88281	0.83945	0.85084	0.94019	0.83095	0.86868	0.8226	1.23693	1.31614	1.21655	1.17483	1.07449	1.29135	1.16937
